Method,Avg Score,Score Std,Precision@5,Precision@10,Recall@5,Recall@10
Sparse (BM25),2.9829,0.6151,0.0000,0.0000,0.0000,0.0000
Dense (Embeddings),0.3710,0.0566,0.0000,0.0000,0.0000,0.0000
Hybrid (α=0.3),0.5304,0.0977,0.0000,0.0000,0.0000,0.0000
Hybrid (α=0.5),0.5600,0.0953,0.0000,0.0000,0.0000,0.0000
Hybrid (α=0.7),0.5948,0.1045,0.0000,0.0000,0.0000,0.0000
